n,d,a,b,x,y,z,verified,covered_by_divisor,n_mod_120,n_mod_840,n_mod_2520,n_mod_27720
472993,7,8,20,118250,27965711125,11186284450,True,,73,73,1753,1753
473017,,,,,,,True,41,97,97,1777,1777
473041,,,,,,,True,23,1,121,1801,1801
473065,,,,,,,True,5,25,145,1825,1825
473089,7,2,26,118274,111908256772,8608327444,True,,49,169,1849,1849
473113,,,,,,,True,73,73,193,1873,1873
473137,,,,,,,True,7,97,217,1897,1897
473161,,,,,,,True,13,1,241,1921,1921
473185,,,,,,,True,5,25,265,1945,1945
473209,,,,,,,True,11,49,289,1969,1969
473233,,,,,,,True,19,73,313,1993,1993
473257,3,2,10,118315,111986803910,22397360782,True,,97,337,2017,2017
473281,,,,,,,True,317,1,361,2041,2041
473305,,,,,,,True,5,25,385,2065,2065
473329,,,,,,,True,127,49,409,2089,2089
473353,7,8,20,118340,28008297010,11203318804,True,,73,433,2113,2113
473377,3,2,10,118345,112043602130,22408720426,True,,97,457,2137,2137
473401,,,,,,,True,31,1,481,2161,2161
473425,,,,,,,True,5,25,505,2185,2185
473449,,,,,,,True,53,49,529,2209,2209
473473,,,,,,,True,7,73,553,2233,2233
473497,3,2,10,118375,112100414750,22420082950,True,,97,577,2257,2257
473521,,,,,,,True,359,1,601,2281,2281
473545,,,,,,,True,5,25,625,2305,2305
473569,,,,,,,True,17,49,649,2329,2329
473593,,,,,,,True,23,73,673,2353,2353
473617,3,2,10,118405,112157241770,22431448354,True,,97,697,2377,2377
473641,,,,,,,True,7,1,721,2401,2401
473665,,,,,,,True,5,25,745,2425,2425
473689,,,,,,,True,19,49,769,2449,2449
473713,,,,,,,True,47,73,793,2473,2473
473737,,,,,,,True,11,97,817,2497,2497
473761,167,31,637,118482,7242858168,352478184,True,,1,1,1,2521
473785,,,,,,,True,5,25,25,25,2545
473809,,,,,,,True,7,49,49,49,2569
473833,3,1,11,118459,224519133388,20410830308,True,,73,73,73,2593
473857,3,2,10,118465,112270939010,22454187802,True,,97,97,97,2617
473881,,,,,,,True,631,1,121,121,2641
473905,,,,,,,True,5,25,145,145,2665
473929,47,72,116,118494,3119874607,1936473894,True,,49,169,169,2689
473953,7,8,20,118490,28079345485,11231738194,True,,73,193,193,2713
473977,,,,,,,True,7,97,217,217,2737
474001,,,,,,,True,11,1,241,241,2761
474025,,,,,,,True,5,25,265,265,2785
474049,39,4,152,118522,56185235578,1478558831,True,,49,289,289,2809
474073,7,8,20,118520,28093565980,11237426392,True,,73,313,313,2833
474097,,,,,,,True,13,97,337,337,2857
474121,,,,,,,True,29,1,361,361,2881
474145,,,,,,,True,5,25,385,385,2905
474169,11,2,42,118545,112420728210,5353368010,True,,49,409,409,2929
474193,,,,,,,True,173,73,433,433,2953
474217,,,,,,,True,199,97,457,457,2977
474241,23,8,84,118566,28114429203,2677564686,True,,1,481,481,3001
474265,,,,,,,True,5,25,505,505,3025
474289,11,10,34,118575,22495527270,6616331550,True,,49,529,529,3049
474313,,,,,,,True,7,73,553,553,3073
474337,3,2,10,118585,112498506290,22499701258,True,,97,577,577,3097
474361,,,,,,,True,523,1,601,601,3121
474385,,,,,,,True,5,25,625,625,3145
474409,,,,,,,True,13,49,649,649,3169
474433,7,8,20,118610,28136249065,11254499626,True,,73,673,673,3193
474457,,,,,,,True,541,97,697,697,3217
474481,,,,,,,True,7,1,721,721,3241
474505,,,,,,,True,5,25,745,745,3265
474529,,,,,,,True,11,49,769,769,3289
474553,,,,,,,True,79,73,793,793,3313
474577,,,,,,,True,677,97,817,817,3337
474601,,,,,,,True,19,1,1,841,3361
474625,,,,,,,True,5,25,25,865,3385
474649,,,,,,,True,7,49,49,889,3409
474673,,,,,,,True,37,73,73,913,3433
474697,,,,,,,True,23,97,97,937,3457
474721,,,,,,,True,13,1,121,961,3481
474745,,,,,,,True,5,25,145,985,3505
474769,11,3,41,118695,75136941940,5497825020,True,,49,169,1009,3529
474793,,,,,,,True,11,73,193,1033,3553
474817,,,,,,,True,7,97,217,1057,3577
474841,,,,,,,True,47,1,241,1081,3601
474865,,,,,,,True,5,25,265,1105,3625
474889,,,,,,,True,31,49,289,1129,3649
474913,,,,,,,True,109,73,313,1153,3673
474937,3,2,10,118735,112783289390,22556657878,True,,97,337,1177,3697
474961,,,,,,,True,211,1,361,1201,3721
474985,,,,,,,True,5,25,385,1225,3745
475009,,,,,,,True,59,49,409,1249,3769
475033,,,,,,,True,13,73,433,1273,3793
475057,,,,,,,True,11,97,457,1297,3817
475081,23,8,84,118776,28214110428,2687058136,True,,1,481,1321,3841
475105,,,,,,,True,5,25,505,1345,3865
475129,,,,,,,True,61,49,529,1369,3889
475153,,,,,,,True,7,73,553,1393,3913
475177,,,,,,,True,643,97,577,1417,3937
475201,,,,,,,True,17,1,601,1441,3961
